# Created on 2025-11-11 13:51:51.962239+01:00 (1762865511.962239 s)
# baldaquin version: 0.10.0+g299a25c
# Creator: Temperature Monitor
# Pin number, Time [s], Temperature [deg C]
0, 0.251, 34.70
1, 0.501, 34.82
0, 0.752, 34.02
1, 1.002, 33.46
0, 1.253, 33.35
1, 1.502, 32.79
0, 1.753, 33.01
1, 2.003, 32.46
0, 2.254, 32.68
1, 2.504, 32.01
0, 2.754, 32.01
1, 3.005, 31.79
0, 3.255, 31.46
1, 3.505, 31.57
0, 3.755, 31.24
1, 4.006, 31.46
0, 4.256, 31.14
1, 4.507, 31.14
0, 4.757, 30.92
1, 5.008, 30.92
0, 5.257, 30.81
1, 5.508, 30.81
0, 5.758, 30.59
1, 6.009, 30.70
0, 6.259, 30.37
1, 6.510, 30.48
0, 6.760, 30.26
1, 7.011, 30.37
0, 7.260, 30.05
1, 7.511, 30.26
0, 7.761, 29.94
1, 8.012, 30.05
0, 8.262, 29.72
1, 8.512, 29.83
0, 8.763, 29.51
1, 9.012, 29.72
0, 9.263, 29.40
1, 9.513, 29.61
0, 9.764, 29.18
1, 10.014, 29.40
0, 10.265, 29.08
1, 10.515, 29.29
0, 10.766, 28.86
1, 11.015, 29.08
0, 11.266, 28.76
1, 11.516, 28.97
0, 11.767, 28.65
1, 12.017, 28.86
0, 12.268, 28.43
1, 12.518, 28.65
0, 12.769, 28.33
1, 13.018, 28.43
0, 13.269, 28.11
1, 13.519, 28.33
0, 13.770, 28.01
1, 14.020, 28.11
0, 14.270, 27.90
1, 14.521, 28.01
0, 14.770, 27.79
1, 15.021, 27.90
0, 15.271, 27.58
1, 15.522, 27.79
0, 15.772, 27.48
1, 16.023, 27.69
0, 16.273, 27.37
1, 16.524, 27.58
0, 16.773, 27.26
1, 17.024, 27.48
0, 17.274, 27.16
1, 17.525, 27.37
0, 17.775, 27.05
1, 18.026, 27.26
0, 18.276, 26.95
1, 18.526, 27.16
0, 18.776, 26.84
1, 19.027, 27.16
0, 19.277, 26.74
1, 19.528, 27.05
0, 19.778, 26.63
1, 20.028, 26.95
0, 20.279, 26.52
1, 20.528, 26.84
0, 20.779, 26.42
1, 21.029, 26.74
0, 21.280, 26.42
1, 21.530, 26.63
0, 21.781, 26.31
1, 22.031, 26.63
0, 22.281, 26.21
1, 22.531, 26.52
0, 22.782, 26.10
1, 23.032, 26.42
0, 23.283, 26.00
1, 23.533, 26.42
0, 23.784, 25.89
1, 24.034, 26.31
0, 24.284, 25.89
1, 24.534, 26.21
0, 24.785, 25.79
1, 25.035, 26.10
0, 25.286, 25.68
1, 25.536, 26.00
0, 25.787, 25.68
1, 26.036, 26.00
0, 26.286, 25.58
1, 26.537, 25.79
0, 26.787, 25.47
1, 27.038, 25.79
0, 27.288, 25.47
1, 27.539, 25.79
0, 27.789, 25.37
1, 28.039, 25.68
0, 28.289, 25.26
1, 28.540, 25.58
0, 28.790, 25.26
1, 29.041, 25.58
0, 29.291, 25.16
1, 29.542, 25.58
0, 29.791, 25.05
1, 30.042, 25.47
0, 30.292, 25.05
1, 30.543, 25.37
0, 30.793, 24.95
1, 31.044, 25.37
0, 31.294, 24.95
1, 31.545, 25.26
0, 31.794, 24.84
1, 32.045, 25.26
0, 32.295, 24.84
1, 32.545, 25.16
0, 32.796, 24.74
1, 33.046, 25.05
0, 33.297, 24.74
1, 33.546, 25.05
0, 33.797, 24.63
1, 34.047, 24.84
0, 34.298, 24.63
1, 34.548, 24.84
0, 34.799, 24.53
1, 35.049, 24.84
0, 35.300, 24.43
1, 35.549, 24.74
0, 35.800, 24.43
1, 36.050, 24.74
0, 36.301, 24.32
1, 36.551, 24.63
0, 36.802, 24.32
1, 37.052, 24.63
0, 37.303, 24.32
1, 37.552, 24.53
0, 37.803, 24.22
1, 38.053, 24.43
0, 38.303, 24.22
1, 38.554, 24.43
0, 38.804, 24.11
1, 39.055, 24.43
0, 39.304, 24.11
1, 39.555, 24.32
0, 39.805, 24.01
1, 40.056, 24.32
0, 40.306, 24.01
1, 40.557, 24.22
0, 40.807, 24.01
1, 41.058, 24.22
0, 41.307, 23.90
1, 41.558, 24.22
0, 41.808, 23.90
1, 42.059, 24.11
0, 42.309, 23.90
1, 42.560, 24.11
0, 42.810, 23.80
1, 43.060, 24.01
0, 43.310, 23.80
1, 43.561, 24.01
0, 43.811, 23.70
1, 44.062, 23.90
0, 44.312, 23.70
1, 44.563, 23.90
0, 44.813, 23.59
1, 45.062, 23.80
0, 45.313, 23.59
1, 45.563, 23.70
0, 45.814, 23.59
1, 46.064, 23.70
0, 46.315, 23.59
1, 46.565, 23.70
0, 46.815, 23.49
1, 47.065, 23.59
0, 47.316, 23.38
1, 47.566, 23.59
0, 47.817, 23.38
1, 48.067, 23.49
0, 48.318, 23.38
1, 48.568, 23.49
0, 48.818, 23.49
1, 49.068, 23.49
0, 49.319, 23.38
1, 49.569, 23.38
0, 49.820, 23.28
1, 50.070, 23.38
0, 50.321, 23.28
1, 50.570, 23.38
0, 50.821, 23.28
